order,hiragana,kanji,meaning,category,example,romaji,level
804,ラジカセ / ラジオカセット,,radio cassette player,manmade,,rajikase/rajiokasetto,2
805,りっぱ,立派,splendid,naadj,あのひとは とても りっぱなひとです。That person is a very good person.,rippa,2
806,りゅうがくせい,留学生,overseas student,people,リンダさんは りゅうがくせいです。Linda is an international student.,ryuugakusei,4
807,りょうしん,両親,both parents,people,りょうしんは ハワイに すんでいます。My parents live in Hawaii.,ryoushin,4
808,りょうり,料理,cuisine,activity,よく りょうりを します。I cook often.,ryouri,2
809,りょこう,旅行,travel,action,なつやすみに ともだちと りょこうします。I travel with friends for summer vacation.,ryokou,13
810,りょこうがいしゃ,旅行会社,travel agency,intangible,かれは りょこうがいしゃにつとめています。He works for a travel agency.,ryokougaisha,2
811,りんご,林檎,apple,food,ネットで りんごを たくさん かいました。I bought a lot of apples online.,ringo,3
812,れい,零,zero,unit,もうすこし れいを おしえてください。Please give me a few more examples.,rei,9
813,れいぞうこ,冷蔵庫,refrigerator,home,れいぞうこの なかに ビールが たくさん あります。There is a lot of beer in the fridge.,reizouko,2
814,レコード,,record,manmade,わたしの うちに レコードは ありません。There are no records in my house.,rekoodo,2
815,レストラン,,restaurant,places,このレストランは とても おいしいです。This restaurant has really good food.,resutoran,4
816,れんしゅう,練習,practice,activity,れんしゅうは とても たいせつです。Practice is very important.,renshuu,2
817,れんしゅうする,練習,to practice,action,うちで もっと れんしゅうしてください。Please practice more at home.,renshuusuru,13
818,ろうか,廊下,corridor,places,,rouka,4
819,ろく,六,six,unit,"このタブレットは 六まんえんぐらいでした。This tablet cost about 60,000 yen.",roku,9
820,ろっぽん,六本,six (long objects),unit,コーラを 六本 ください。Please give me six colas.,roppon,9
821,ワイシャツ,,business shirt,wearables,ワイシャツは あまり きません。I don't wear shirts very often.,waishatsu,2
822,わかい,若い,young,iadj,ははは ちちより ５さい わかいです。My mother is 5 years younger than my father.,wakai,6
823,わかる,分かる,to be understood,action,にほんごが わかりますか。Do you understand Japanese?,wakaru,13
824,わすれる,忘れる,to forget,action,また パスワードをわすれました。I forgot my password again.,wasureru,13
825,わたくし,私,"(humble) I, myself",atomic,私は ABC Company の さとうです。I'm Sato from ABC Company.,watakushi,5
826,わたし,私,"I, myself",atomic,私は にほんごを べんきょうしています。I'm studying Japanese.,watashi,5
827,わたす,渡す,to hand over,action,これから しゅくだいを わたします。I will give you homework from now on.,watasu,13
828,わたる,渡る,to go across,action,おうだんほどうを わたりましょう。Let's cross the pedestrian crossing.,Wataru,13
829,わるい,悪い,bad,iadj,わたしは めが わるいです。I have bad eyesight.,warui,6
