order,hiragana,kanji,meaning,category,example,romaji,level
192,おわる,終る,to finish,action,かいぎは 3じに おわります。The meeting ends at 3 o'clock.,owaru,4
193,おんがく,音楽,music,activity,おんがくが だいすきです。I love music.,ongaku,1
194,おんな,女,woman,people,わたしのオフィスには女のひとが 6にん います。There are 6 women in my office.,onna,3
195,おんなのこ,女の子,girl,people,女の子が 3にん います。There are 3 girls.,onnanoko,3
196,か,火,Tuesday = かようび。,time,3がつ15にち（火）  March 15th (Tuesday),ka,2
197,がいこく,外国,foreign country,places,外国に いきたいです。I want to go abroad.,gaikoku,1
198,がいこくじん,外国人,foreigner,people,うちの かいしゃには外国人が おおぜい います。There are many foreigners in my company.,gaikokujin,3
199,かいしゃ,会社,company,places,うちから 会社まで 40ぷんぐらいです。It's about 40 from our house to the company.,kaisha,2
200,かいだん,階段,stairs,home,かいだんで いきましょう。Let's go up the stairs.,kaidan,1
201,かいとうようし,解答用紙,answer sheet,stationery,これは テストの かいとうようしです。This is the test answer sheet.,kaitouyoushi,1
202,かいもの,買い物,shopping,activity,くるまで 買いものに いきます。I'm going shopping by car.,kaimono,1
203,かう,買う,to buy,action,おいしい パンを 買いました。I bought some delicious bread.,kau,4
204,かえす,返す,to return something,action,としょかんに ほんを かえします。Return the book to the library.,kaesu,4
205,かえる,帰る,to go back,action,タクシーで うちに かえります。I'll take a taxi home.,kaeru,4
206,かお,顔,face,body,あのひとの かおを おぼえていますか。Do you remember that person's face?,kao,1
207,かかる,掛かる,to take time or money,action,えきまで あるいて 10ぷん かかります。It takes 10 minutes on foot to the station.,kakaru,4
208,かぎ,鍵,key,manmade,うちに くるまの かぎを わすれました。I forgot my car key at home.,kagi,1
209,かく,書く,to write,action,えきまでの ちずを 書きましょうか。Shall I write a map to the station?,kaku,4
210,がくせい,学生,student,people,いもうとは まだ 学生です。My sister is still a student.,gakusei,3
211,かける,掛ける,to call by phone,action,あとで かいしゃに でんわを かけます。I'll call the company later.,Kakeru,4
212,かける,掛ける,wear,action,めがねを かけます。I wear glasses.,kakemasu,4
213,かさ,傘,umbrella,wearables,かさが ありますか。Do you have an umbrella?,kasa,1
214,かす,貸す,to lend,action,ペンを かしてください。Please lend a pen.,kasu,4
215,かぜ,風,wind,nature,きょうは とても かぜが つよいです。It's very windy today.,kaze,1
216,かぜ,風邪,a cold,nature,,kaze,1
217,かぞく,家族,family,people,わたしの かぞくも とうきょうに すんでいます。My family also lives in Tokyo.,kazoku,3
218,かた,方,"person, way of doing",atomic,つかいかたを おしえてください。Please teach me how to use it.,kata,2
219,カタカナ,片仮名,katakana,intangible,カタカナは むずかしくないです。Katakana is not difficult.,katakana,1
220,がっこう,学校,school,places,あるいて 学校に いきます。I will walk to school.,gakkou,2
221,カップ,,cup,home,,kappu,1
222,かてい,家庭,household,people,,katei,3
223,かど,角,a corner,places,つぎの かどを みぎに まがります。Turn right at the next corner.,kado,2
224,かない,家内,(my) wife,people,かないは いま うちに います。My wife is at home now.,kanai,3
225,かばん,鞄,"bag, basket",wearables,かばんの なかに PCが あります。There is a PC in the bag.,kaban,1
226,かびん,花瓶,a vase,manmade,テーブルの うえに かびんが あります。There is a vase on the table.,kabin,1
227,かぶる,被る,put on,action,ぼうしを かぶります。Put on a hat.,kaburimasu,4
228,かみ,紙,paper,stationery,紙を 1まい ください。Please give me a piece of paper.,Kami,1
229,カメラ,,camera,manmade,あたらしい カメラを かいたいです。I want to buy a new camera.,kamera,1
230,かようび,火曜日,Tuesday,time,きょうは 火よう日です。 Today is Tuesday.,kayoubi,2
231,からい,辛い,spicy,iadj,からい たべものは だいじょうぶですか。Is spicy food okay?,karai,3
232,からだ,体,body,body,スポーツは からだに いいです。Sports are good for you.,karada,1
233,かりる,借りる,to borrow,action,ともだちに かさを かりました。I borrowed an umbrella from my friend.,kariru,5
234,かるい,軽い,light,iadj,このバッグは かるいです。This bag is light.,karui,3
235,カレー,,curry,food,,karee,1
236,カレンダー,,calendar,stationery,これは きょねんの カレンダーです。This is last year's calendar.,karendaa,1
237,かわ,川/河,river,nature,おおきい川が あります。There is a big river.,kawa,1
238,かわいい,可愛い,cute,iadj,こどもは かわいいです。Children are cute.,kawaii,3
239,かんがえる,考える,"consider, think",action,いいアイデアを かんがえました。I came up with a good idea.,kangaemasu,5
240,かんじ,漢字,Chinese character,intangible,かんじの べんきょうを しています。I'm studying kanji.,kanji,1
241,かんたん,簡単,easy [na-adj.],naadj,このもんだいは かんたんです。This question is easy.,kantan,1
242,き,木,"tree, wood",nature,にわに おおきい 木が あります。There is a big tree in the garden.,ki,1
243,きいろ,黄色,yellow,color,,kiiro,1
244,きいろい,黄色い,yellow,iadj,きいろい マーカーで チェックします。Check with the yellow marker.,kiiroi,3
245,きえる,消える,to disappear,action,でんきが きえました。The electricity has gone out.,kieru,5
246,きく,聞く,"to hear, to listen to, to ask",action,イヤホンで おんがくを 聞きます。Listen to music with earphones.,kiku,5
247,きた,北,north,direction,北は どちらですか。Which direction is north?,kita,1
248,ギター,,guitar,manmade,ギターの れんしゅうを しています。I'm practicing the guitar.,gitaa,1
249,きたない,汚い,dirty,iadj,このビルの トイレは きたないです。The toilet in this building is dirty.,kitanai,3
250,きっさてん,喫茶店,coffee lounge,places,えきのまえに ふるい きっさてんが あります。There is an old coffee shop in front of the station.,kissaten,2
251,きって,切手,postage stamp,stationery,ゆうびんきょくで きってを かいました。I bought a stamp at the post office.,kitte,1
252,きっぷ,切符,ticket,stationery,これは しんかんせんの きっぷです。This is a Shinkansen ticket.,kippu,1
253,きのう,昨日,yesterday,time,きのう たくさん にほんごの べんきょうをしました。I studied a lot of Japanese yesterday.,kinou,2
254,きゅう,九,nine,unit,ほんを 九さつ かりました。I borrowed nine books.,kyuu,4
255,きゅう / く,九,nine,unit,いま 九じです。It's nine o'clock now.,kyuu/ku,4
256,ぎゅうにく,牛肉,beef,food,にほんで ぎゅうにくは たかいです。Beef is expensive in Japan.,gyuuniku,1
257,ぎゅうにゅう,牛乳,milk,food,まいあさ ぎゅうにゅうを のみます。I drink milk every morning.,gyuunyuu,1
258,きょう,今日,today,time,"今日は いい てんきですね。It's nice weather today, isn't it?",kyou,2
259,きょうしつ,教室,classroom,places,せんせいは きょうしつに います。The teacher is in the classroom.,kyoushitsu,2
260,きょうだい,兄弟,(humble) siblings,people,きょうだいが いますか。Do you have any siblings?,kyoudai,3
261,きょうと,京都,Kyoto [name of city],intangible,おととし きょうとに いきました。I went to Kyoto two years ago.,kyouto,1
262,きょねん,去年,last year,time,"きょねん にほんごの べんきょうをはじめました。Last year, I started studying Japanese.",kyonen,2
263,きらい,嫌い,hate,naadj,なっとうが きらいです。I hate natto.,kirai,1
264,きる,切る,to cut,action,やさいを きります。 Cut the vegetables.,kiru,5
265,きる,着る,to put on from the shoulders down,action,"さむいですから、セーターをきます。It's cold, so I'll wear a sweater.",kiru,5
266,きれい,,"pretty, clean",naadj,このへやは きれいです。This room is clean.,kirei,1
267,キロ/キログラム,,kilogram,unit,"1キロ、2キロ、3キロ・・・  1 kg, 2 kg, 3 kg ...",kiro/kiroguramu,4
268,キロ/キロメートル,,kilometre,unit,10キロぐらい はしりました。I ran about 10 km.,kiro/kiromeetoru,4
269,きん,金,Friday = きんようび。,time,2がつ26にち（金）  February 26th (Friday),kin,2
270,ぎんこう,銀行,bank,places,あとで 銀行に いきます。I will go to the bank later.,ginkou,2
271,きんようび,金曜日,Friday,time,金よう日に あいましょう。Let's meet on Friday.,kinyoubi,2
272,くすり,薬,medicine,food,しょくじの あとで くすりを のみます。Take medicine after meals.,kusuri,1
273,ください,,please,sentence,,kudasai,2
274,くだもの,果物,fruit,food,よく くだものを たべます。I often eat fruits.,kudamono,2
275,くち,口,"mouth, opening",body,かれは 口が おおきいです。He has a big mouth.,kuchi,1
276,くつ,靴,shoes,wearables,くつの サイズは いくつですか。What is the size of your shoes?,kutsu,1
277,くつした,靴下,socks,wearables,しろい くつ下を かいました。I bought white socks.,kutsushita,1
278,くに,国,country,places,"あした 国に かえります。Tomorrow, I will return to my country.",kuni,2
279,くもり,曇り,cloudy weather,nature,きょうは くもりです。It's cloudy today.,kumori,2
280,くもる,曇る,"to become cloudy, to become dim",action,,kumoru,5
281,くらい,暗い,gloomy,iadj,このへやは くらいです。This room is dark.,kurai,3
282,クラス,,class,activity,しゅうまつは ヨガの クラスに いきます。I go to yoga classes on weekends.,kurasu,1
283,グラム,,gram,unit,"1グラム、2グラム、3グラム・・・  1 gram, 2 gram, 3 gram ...",Guramu,4
284,くる,来る,to come,action,"らいしゅう りょうしんが とうきょうに 来ます。Next week, my parents will come to Tokyo.",kuru,5
285,くるま,車,"car, vehicle",transport,きょうは 車が おおいですね。There are many cars today.,kuruma,1
286,くろ,黒,black,color,くろで かきます。Write in black.,kuro,1
287,くろい,黒い,black,iadj,くろい バッグが 3つ あります。There are three black bags.,kuroi,3
288,くろく,黒く,black [adv.],color,くろく なりました。 It turned black.,kuroku,1
289,ケーキ,,cake,food,このケーキを 4つ ください。Please give me four of these cakes.,keeki,2
290,けいかん,警官,policeman,people,,keikan,3
291,けさ,今朝,this morning,time,今朝は ６じに おきました。I got up at 6 o'clock this morning.,kesa,2
292,けしゴム,消しゴム,eraser,stationery,けしゴムを かしてください。Please lend me an eraser.,keshigomu,1
293,けす,消す,"to erase, to turn off power",action,でんきを けします。Turn off the light.,kesu,5
294,げつ,月,Monday = げつようび。,time,4がつ22にち（月）  April 22nd (Monday),getsu,3
295,けっこう,結構,"splendid, enough",naadj,,kekkou,1
296,けっこん,結婚,marriage,action,2がつ15にちに けっこんしました。I got married on February 15th.,kekkon,5
297,げつようび,月曜日,Monday,time,月よう日は いつも いそがしいです。I'm always busy on Mondays.,getsuyoubi,3
298,げんかん,玄関,entry hall,places,げんかんで くつを ぬぎます。Take off your shoes at the entrance.,genkan,2
299,げんき,元気,"health, vitality",naadj,おげんきですか。How are you?,Genki,1
300,ご,五,five,unit,"にほん語、えい語、ちゅうごく語・・・ Japanese, English, Chinese ...",go,4
301,コート,,"coat, tennis court",wearables,"さむいから、コートをきます。It's cold, so I'll wear a coat.",kooto,1
302,コーヒー,,coffee,food,コーヒーを 2はい のみました。I drank two cups of coffee.,koohii,2
303,こうえん,公園,park,places,うちの ちかくに こうえんが あります。There is a park near my house.,kouen,2
304,こうさてん,交差点,intersection,places,,kousaten,2
305,こうちゃ,紅茶,black tea,action,もんだいに こたえてください。Please answer the question.,koucha,6
306,こうばん,交番,police box,manmade,えきの まえに こうばんが あります。There is a police box in front of the station.,kouban,1
307,こえ,声,voice,body,いい こえですね。You have a good voice.,koe,1
308,ここ,,here,direction,ここは あついです。It's hot here.,koko,1
309,ごご,午後,afternoon,time,あしたの 午後は うちに います。I'll be at home tomorrow afternoon.,gogo,3
310,ここのか,九日,"nine days, ninth day",unit,きょうは 九日です。Today is the 9th.,kokonoka,5
311,ここのつ,九つ,nine,unit,ふくろの なかに りんごが 九つ あります。There are nine apples in the bag.,kokonotsu,5
312,ごしゅじん,ご主人,(someone's) husband,people,ごしゅじんは いま どこに いますか。Where is your husband now?,goshujin,3
313,ごぜん,午前,morning,time,いま 午前 11じです。It's 11am now.,gozen,3
314,こたえ,答え,answer,intangible,ここに こたえを かいてください。Please write your answer here.,kotae,1
315,こたえる,答える,to answer,action,こたえかたが わかりません。I don't know how to answer.,kotaeru,6
316,ごちそうさまでした。,,I've enjoyed my meal very much. Thank you. (saying this after having a meal.),sentence,,gochisousamadeshita,2
317,こちら,,this person or way,direction,こちらは どなたですか。Who is this?,kochira,1
318,こちらこそ。,,"It is me, not you that ...",sentence,,kochirakoso,2
319,こっち,,this person or way,atomic,,kotchi,2
320,コップ,,a glass,home,テーブルの うえに コップが たくさん あります。There are many cups on the table.,koppu,1
321,ことし,今年,this year,time,今年は くにに かえりません。I will not return to the country this year.,kotoshi,3
322,ことば,言葉,"word, language",intangible,たくさん ことばを おぼえました。I learned a lot of words.,kotoba,1
323,こども,子供,child,people,わたしは 子どもが 3にん います。I have 3 children.,kodomo,4
324,この,,this,direction,このカメラは とても かるいです。This camera is very light.,kono,1
325,ごはん,御飯,"cooked rice, meal",food,あさ 8じに ごはんを たべました。I ate at 8 am.,gohan,2
326,コピー,,copy,stationery,コピーをもらってもいいですか。May I get a copy?,kopii,1
327,コピーする,,to copy,action,5ページから10ページまで コピーしてください。Please copy pages 5 to 10.,kopiisuru,6
328,こまる,困る,to be worried,action,スマホを わすれましたから、こまりました。I was in trouble because I forgot my smartphone.,komaru,6
329,ごめんください。,,"Hello!, May I come in?",sentence,,gomenkudasai,2
330,ごめんなさい。,,Sorry.,sentence,,gomennasai,2
331,これ,,this,direction,これを ２つと、それを ３つ ください。Please give me two of these and three of them.,kore,1
332,こんげつ,今月,this month,unit,今月は とても いそがしいです。This month is very busy.,kongetsu,5
333,こんしゅう,今週,this week,unit,今週は あまり いそがしくないです。I'm not very busy this week.,konShuu,5
334,こんな,,such,naadj,こんな りょうりが すきです。I like this kind of food.,konna,1
335,こんにちは。,,"Good morning., Good afternoon., Hello.",sentence,,konnichiha,2
336,こんばん,今晩,this evening,time,こんばん 9じに うちに かえります。 I'll be back home tonight at 9 o'clock.,konban,3
337,こんばんは。,,Good evening.,sentence,,konbanha,3
338,さあ,,well…,sentence,,saa,3
339,さいご,最後,"end, last time",time,レッスンの さいごに しゅくだいを あげます。I will give you homework at the end of the lesson.,saigo,3
340,さいふ,財布,wallet,home,,saifu,1
341,さかな,魚,fish,food,にくより 魚のりょうりが すきです。I like fish dishes better than meat.,sakana,2
342,さき,先,"the future, previous",time,お先に どうぞ。After you.,Saki,3
343,さく,咲く,to bloom,action,はるには いろいろなはながさきます。Various flowers bloom in spring.,saku,6
344,さくぶん,作文,"composition, writing",activity,さくぶんは いい れんしゅうです。Writing is a good practice.,sakubun,1
345,さす,差す,"to stretch out hands, to raise an umbrella",action,"あめでしたが、かさをさしませんでした。It was raining, but I didn't hold my umbrella.",sasu,6
346,サッカー,,"soccer, football",activity,あしたは サッカーの しあいが あります。Tomorrow there is a soccer game.,sakkaa,1
347,ざっし,雑誌,magazine,stationery,このざっしの しゃしんは きれいです。The photos in this magazine are beautiful.,zasshi,1
348,さとう,砂糖,sugar,food,コーヒーに さとうを いれますか。Would you like to add sugar to your coffee?,satou,2
349,さむい,寒い,cold,iadj,きょうは きのうより さむいです。It's colder today than yesterday.,samui,3
350,さようなら。,,Goodbye.,sentence,,sayounara,3
351,さらいねん,さ来年,year after next,time,たぶん さらいねん にほに いきます。Maybe I will go to Japan the year after next.,sarainen,3
352,さん,三,three,atomic,"すずきさん、さとうさん・・・  Mr. Suzuki, Ms. Sato",san,2
353,さんぽ(を)します,散歩(を)します,take a walk,action,けさ ははと さんぽをしました。I took a walk with my mother this morning.,sanpo(wo)shimasu,6
354,さんぽする,散歩,to stroll,action,ちちと ははは さんぽが すきです。My father and mother like walking.,sanposuru,6
355,し / よん,四,four,unit,"いち、に、さん、四、ご…  one, two, three, four, five ...",shi/yon,5
356,しお,塩,salt,food,しおを すこし いれてください。Please add a little salt.,shio,2
357,しかし,,however,atomic,べんきょうしました。しかし、わすれました。I studied. But I forgot.,shikashi,2
358,じかん,時間,time,unit,"1時間、2時間、3時間・・・1 hour, 2 hours, 3 hours ...",jikan,5
359,しごと,仕事,job,activity,どんな しごとを していますか。What kind of work do you do?,shigoto,1
360,じしょ,辞書,dictionary,stationery,じしょで しらべました。I looked it up in the dictionary.,jisho,1
361,しずか,静か,quiet,naadj,このカフェは しずかです。This cafe is quiet.,shizuka,1
362,した,下,below,direction,テーブルの 下に コンセントが あります。There is an outlet under the table.,shita,2
363,しち / なな,七,seven,unit,,shichi/nana,5
364,しつもん,質問,question,intangible,しつもんが あります。I have a question.,shitsumon,1
365,しつれいしました。,,I am sorry. (I am sorry to have been rude.),sentence,,shitsureishimashita,3
366,しつれいします。,,Excuse me.,sentence,,shitsureishimasu,3
367,じてんしゃ,自転車,bicycle,transport,じてんしゃで がっこうに いきます。I go to school by bicycle.,jitensha,1
368,じどうしゃ,自動車,automobile,transport,じどうしゃが 5だい あります。There are 5 cars.,jidousha,1
369,しぬ,死ぬ,to die,action,ペットが しにました。The pet has died.,shinu,6
370,じびき,字引,dictionary,stationery,"じしょと じびきは おなじです。""Jisho"" and ""Jibiki"" are the same.",jibiki,2
371,じぶん,自分,oneself,intangible,じぶんで つくりました。I made it myself.,jibun,1
372,しまる,閉まる,"to close, to be closed",action,ドアが しまります。The door closes.,shimaru,6
373,しめる,閉める,to close something,action,わたしは ドアを しめます。I close the door.,shimeru,7
374,しめる,締める,to tie,action,,shimeru,7
375,じゃ/じゃあ,,well then…,sentence,,ja/jaa,3
376,しゃしん,写真,photograph,manmade,いっしょに しゃしんを とりましょう。Let's take a picture together.,shashin,1
377,シャツ,,shirt,wearables,しろい シャツを かいました。I bought a white shirt.,shatsu,1
378,シャワー,,shower,activity,まいあさ シャワーを あびます。I take a shower every morning.,shawaa,1
379,ジュース,,juice,food,オレンジジュースをください。Please give me orange juice.,juusu,2
380,しゅう,週,week,unit,この週とこの週はとうきょうに います。This week and this week I'm in Tokyo.,Shuu,5
381,じゅう,十,ten,unit,おとこの ひとが 十にん います。There are ten men.,juu,5
382,じゅぎょう,授業,"lesson, class work",activity,きょうは にほんごの じゅぎょうが あります。I have a Japanese class today.,jugyou,2
383,しゅくだい,宿題,homework,activity,しゅくだいが たくさん あります。I have a lot of homework.,shukudai,2
384,じょうず,上手,skillful,naadj,かのじょは にほんごが じょうずです。She is good at Japanese.,jouzu,1
385,じょうずに,上手,well [adv.],intangible,とても 上手に できましたね。You did it very well.,jouzuni,2
386,じょうぶ,丈夫,"strong, durable",naadj,このスーツケースはじょうぶです。 This suitcase is durable.,joubu,2
387,しょうゆ,醤油,soy sauce,food,しょうゆを すこし いれます。Add a little soy sauce.,shouyu,2
388,しょくどう,食堂,dining hall,places,10かいに しょくどうが あります。There is a dining room on the 10th floor.,shokudou,3
389,しる,知る,to know,action,"「はい、知っています」「いいえ、知りません」""Yes, I know"" ""No, I don't know""",shiru,7
390,しろ,白,white,color,,Shiro,1
391,しろい,白い,white,iadj,白い はなを かいました。I bought a white flower.,shiroi,4
392,しんぶん,新聞,newspaper,stationery,うちで 新聞を よみます。I read the newspaper at home.,shinbun,2
393,すい,水,Wednesday = すいようび。,time,げつと水は やすみです。 Monday and Wednesday are closed.,sui,3
394,すいようび,水曜日,Wednesday,time,水よう日は うちで しごとを します。I work at home on Wednesday.,suiyoubi,4
395,すう,吸う,"to smoke, to suck",action,たばこを すいますか。Do you smoke?,suu,7
396,スカート,,skirt,wearables,ときどき スカートを はきます。I wear a skirt sometimes.,sukaato,1
397,すき,好き,likeable,naadj,わたしは べんきょうが すきです。I like studying.,suki,2
398,すくない,少ない,a few,iadj,きょうは しゅくだいが すくないです。I have less homework today.,sukunai,4
399,すぐに,直ぐに,instantly,time,すぐに おわります。It will end soon.,suguni,4
400,すこし,少し,few,unit,少し じかんを ください。Please give me some time.,sukoshi,5
401,すし,寿司,sushi,food,きのう すしを たべました。I ate sushi yesterday.,sushi,2
402,すしや,すし屋,sushi restaurant,places,きのうは すしやに いきました。Yesterday I went to a sushi restaurant.,sushiya,3
403,すずしい,涼しい,refreshing,iadj,きょうは きのうより すずしいです。Today is cooler than yesterday.,suzushii,4
404,ストーブ,,heater,home,これは ふるい ストーブです。This is an old stove.,sutoobu,1
405,スプーン,,spoon,home,スプーンで カレーを たべます。Eat curry with a spoon.,supuun,1
406,スポーツ,,sport,activity,なにか スポーツを していますか。Do you play any sports?,supootsu,2
407,ズボン,,trousers,wearables,ズボンを はきます。I wear pants.,zubon,1
408,すみません。,,Excuse me.,sentence,,sumimasen,3
409,すむ,住む,to live in,action,めぐろに 住んでいます。I live in Meguro.,sumu,7
410,スリッパ,,slippers,wearables,ここで スリッパを はきます。I will put on my slippers here.,surippa,1
411,する,為る,do,action,あしたは なにを しますか。What are you going to do tomorrow?,shimasu,7
412,すわる,座る,to sit,action,どうぞ ここに すわって ください。Please have a seat here.,suwaru,7
413,せ,背,"height, stature",intangible,あのひとは とても せが たかいです。That person is very tall.,se,2
414,セーター,,"sweater, jumper",wearables,このセーターは とても あたたかいです。This sweater is very warm.,seetaa,2
415,せいと,生徒,pupil,people,わたしは MLCの せいとです。I am a MLC student.,seito,4
416,せっけん,石鹸,soap,home,せっけんで よく てを あらいましょう。Wash your hands thoroughly with soap.,sekken,2
417,せびろ,背広,business suit,wearables,あのひとは いつも せびろを きています。That person is always in a suit.,sebiro,2
418,せまい,狭い,narrow,iadj,わたしの へやは せまいです。My room is small.,semai,4
419,ゼロ,零,zero,unit,これは カロリーゼロです。This is zero calories.,zero,6
420,せん,千,thousand,unit,これは 千えんです。This is a thousand yen.,sen,6
421,せんげつ,先月,last month,time,先月 ハワイに いきました。I went to Hawaii last month.,sengetsu,4
422,せんしゅう,先週,last week,time,先週の きんようびに びょういんに いきました。I went to the hospital last Friday.,senshuu,4
423,せんせい,先生,"teacher, doctor",people,すずき先生は どこに いますか。Where is Teacher Suzuki?,sensei,4
424,せんたく,洗濯,washing,activity,まいにち せんたくを します。I will do the laundry every day.,sentaku,2
425,ぜんぶ,全部,all,unit,しゅくだいは ぜんぶ おわりました。I've done all my homework.,zenbu,6
426,そうじ,掃除,cleaning,activity,わたしは そうじが すきです。I like cleaning.,souji,2
427,そうじする,掃除,"to clean, to sweep",action,これから このへやを そうじします。I'm going to clean this room.,soujisuru,7
428,そうして/そして,,and,atomic,ともだちに あいました。そして、すしやにいきました。I met my friend. Then I went to a sushi restaurant.,soushite/soshite,2
429,そうしましょう。,,Let's do it.,sentence,,soushimashou,3
430,そうです。,,That's right.,sentence,,soudesu,3
431,そうですか。,,I see.,sentence,,soudesuka,3
432,そうですね。,,"Oh right., Well ...",sentence,,soudesune,4
433,そこ,,that place,direction,かぎは そこに あります。 The key is there.,soko,2
434,そちら,,over there,direction,あした そちらに いきます。I will go there tomorrow.,sochira,2
435,そっち,,over there,direction,,sotchi,2
436,そと,外,outside,direction,外は すごい あめです。It's raining a lot outside.,soto,2
437,その,,"the, that",atomic,そのひとは とても しんせつでした。The person was very kind.,sono,2
438,そば,,"near, beside",direction,オフィスの そばの みせで かいました。I bought it at a store near my office.,soba,2
439,そら,空,sky,nature,きょうは 空が とても きれいですね。The sky is very beautiful today.,sora,2
440,それ,,"it, that",atomic,それは なんですか。 What is it?,sore,2
441,それから,,after that,atomic,"これをください。それから、これもください。 This one, please. Also, this one, please.",sorekara,2
442,それでは,,in that situation,atomic,それでは つぎの ページに いきましょう。Now let's go to the next page.,soredewa,3
443,だいがく,大学,university,places,大学で にほんごを べんきょうしました。I studied Japanese at university.,daigaku,3
444,たいしかん,大使館,embassy,places,これから たいしかんに いきます。I will go to the embassy from now on.,taishikan,3
445,だいじょうぶ,大丈夫,all right,naadj,だいじょうぶですか。Are you okay?,daijoubu,2
446,だいすき,大好き,to be very likeable,naadj,チーズケーキが だいすきです。I love cheesecake.,daisuki,2
447,たいせつ,大切,important,naadj,これは とても たいせつです。This is very important.,taisetsu,2
448,だいたい,大体,almost,atomic,だいたい おなじ いみです。It has almost the same meaning.,daitai,3
449,たいてい,大抵,"mostly, usually",atomic,あさごはんは たいてい パンと コーヒーです。Breakfast is usually bread and coffee.,taitei,3
450,だいどころ,台所,kitchen,places,かないと むすめは だいどころに います。My wife and daughter are in the kitchen.,daidokoro,3
451,たいへん,大変,very,naadj,きのうは たいへん いそがしかったです。It was very busy yesterday.,taihen,2
452,たかい,高い,"tall, expensive",iadj,このカメラは 高いです。This camera is expensive.,takai,4
453,だから,,"so, therefore",atomic,あしたは あめです。だから、うちにいます。It will rain tomorrow. So I will stay home.,dakara,3
454,たくさん,沢山,many,unit,きょうは たくさん しゅくだいが あります。I have a lot of homework today.,takusan,6
455,タクシー,,taxi,transport,タクシーで 行きましょう。Let's go by taxi.,takushii,1
456,だす,出す,to put out,action,バッグの なかから スマホを 出します。Take your smartphone out of the bag.,dasu,7
457,ただいま。,,"I'm home., I'm back.",sentence,,tadaima,4
458,ただしい,正しい,correct [i-adj.],iadj,ただしいぶんは どれですか。Which is the correct sentence?,tadashii,4
459,たつ,立つ,to stand,action,ここに 立ってください。Please stand here.,tatsu,7
460,たて,縦,"length, height",unit,,tate,6
461,たてもの,建物,building,manmade,たかい たてものが たくさん あります。There are many tall buildings.,tatemono,1
462,たのしい,楽しい,enjoyable,iadj,きのうの パーティーは とても たのしかったです。Yesterday's party was a lot of fun.,tanoshii,4
463,たのむ,頼む,to ask,action,たなかさんに このしごとを たのみます。I will ask Mr. Tanaka for this job.,tanomu,8
464,たばこ,煙草,"tobacco, cigarettes",manmade,わたしは たばこを すいません。I don't smoke.,tabako,1
465,たぶん,,probably,atomic,たぶん あしたは じかんが あります。Maybe I have time tomorrow.,tabun,3
466,たべもの,食べ物,food,food,コンビニで 食べものとのみものをかいました。I bought food and drinks at a convenience store.,tabemono,3
467,たべる,食べる,to eat,action,よく おすしを 食べます。I often eat sushi.,taberu,8
468,たまご,卵,egg,food,たまごを 10こ かいました。I bought 10 eggs.,tamago,3
469,だれ,誰,who,atomic,あのひとは だれですか。Who is that person.,dare,3
470,だれか,誰,somebody,atomic,,dareka,3
471,たんじょうび,誕生日,birthday,intangible,たんじょうびは いつですか。When is your birthday.,tanjoubi,2
472,だんだん,,gradually,atomic,だんだん あたたかくなりました。It's getting warmer and warmer.,dandan,3
473,ちいさい,小さい,little,iadj,小さい さかなが います。There is a small fish.,chiisai,4
474,ちいさな,小さな,little,naadj,小さな さかなが います。There is a small fish.,chiisana,2
475,ちかい,近い,near,iadj,わたしの うちは えきから 近いです。My house is close to the station.,chikai,4
476,ちがう,違う,to differ,action,N5とN4は レベルが ちがいます。N5 and N4 have different levels.,chigau,8
477,ちかく,近く,near,direction,近くの レストランで ばんごはんを たべました。I had dinner at a nearby restaurant,chikaku,2
478,ちかてつ,地下鉄,underground train,places,ちかてつは とても べんりです。The subway is very convenient.,chikatetsu,3
479,ちず,地図,map,stationery,ちずを みて チェックしましょう。Let's check by looking at the map.,chizu,2
480,ちち,父,(my) father,people,父は エンジニアです。My father is an engineer.,chichi,4
481,ちゃいろ,茶色,brown,color,わたしの さいふは ちゃいろです。My wallet is brown.,chairo,1
482,ちゃわん,茶わん,rice bowl,food,きれいな ちゃわんと おはしを かいました。I bought a beautiful bowl and chopsticks.,chawan,3
483,ちょうど,,exactly,atomic,いま 3じ ちょうどです。It's just 3 o'clock now.,choudo,3
484,ちょっと,,somewhat,atomic,すみません。ここでちょっと まってください。Excuse me. Please wait a moment here.,chotto,3
485,ついたち,一日,first of month,time,たんじょうびは ３がつ ついたちです。Birthday is March 1st.,tsuitachi,4
486,つかう,使う,to use,action,しごとで まいにち にほんごを つかいます。I use Japanese every day at work.,tsukau,8
487,つかれる,疲れる,to get tired,action,きょうは とても つかれました。I'm very tired today.,tsukareru,8
488,つぎ,次,next,direction,つぎの かどを みぎに まがってください。Turn right at the next corner.,tsugi,2
489,つく,着く,to arrive at,action,3じはんに なりたくうこうに つきます。I will arrive at Narita Airport at 3:30.,tsuku,8
490,つくえ,机,desk,home,つくえの うえに ほんが たくさん あります。There are many books on the desk.,tsukue,2
491,つくりかた,作り方,how to make,atomic,このりょうりの つくりかたを しりたいです。I want to know how to make this dish.,tsukurikata,4
492,つくる,作る,to make,action,あたらしいアプリをつくりました。I made a new app.,tsukuru,8
493,つける,点ける,to turn on,action,このリモコンで エアコンを つけます。Turn on the air conditioner with this remote control.,tsukeru,8
494,つとめる,勤める,to work for someone,action,ちいさい ITの かいしゃに つとめています。I work for a small IT company.,tsutomeru,8
495,つまらない,詰らない,boring,iadj,このえいがは つまらないです。This movie is boring.,tsumaranai,4
